code,usernname,studied,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
MU3Sec3187,username187,0,Control,18-Aug-23,19,,Thailand,3,4,4,2,4,4,3,3,3,4,B,C,C,C,C,D,A,A,B,D,0,1,0,0,0,1,0,1,1,0,4,B,D,B,C,B,C,D,A,D,A,0,0,1,0,1,0,1,1,1,0,5,3,4,3,3,5,3,5,3,2,1,2,2,6,,No,No,5,,,
MU3Sec3189,username189,0,Control,18-Aug-23,19,Samut Prakan,Thailand,4,3,4,2,3,4,4,3,4,4,B,D,B,C,A,B,A,B,A,A,0,0,0,0,0,0,0,0,0,0,0,B,A,D,C,C,B,B,C,C,C,1,0,1,1,0,1,1,1,1,1,8,3,3,4,4,5,4,1,1,3,1,2,3,1,,Yes,No,1,,,
MU3Sec3190,username190,0,Experiment,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,C,C,C,A,A,D,B,C,A,C,0,1,0,0,0,1,1,0,0,0,3,A,B,D,D,A,C,A,D,C,A,1,1,0,1,1,1,0,0,0,0,5,3,3,2,4,1,4,1,4,4,1,2,2,3,,Yes,No,4,,,
MU3Sec3191,username191,0,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,B,A,D,B,B,A,D,1,0,1,0,0,1,1,0,0,0,4,B,A,C,D,B,A,C,A,C,C,0,1,1,0,1,0,1,0,1,0,5,1,1,3,3,1,2,5,5,4,1,2,1,4,,Yes,No,1,,,
MU3Sec3192,username192,0,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,B,C,B,C,A,C,D,D,1,0,0,0,1,0,0,0,0,0,2,A,C,B,C,B,A,A,D,B,C,1,1,1,0,0,0,0,0,0,0,3,2,2,2,3,5,4,4,1,4,1,2,2,6,,Yes,No,3,,,
MU3Sec3193,username193,0,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,B,C,D,D,B,A,B,B,1,0,0,0,0,1,1,1,1,1,6,A,B,C,D,D,D,D,B,C,B,1,0,1,0,1,0,1,0,1,1,6,1,1,3,5,1,5,5,3,5,1,2,2,5,,No,No,4,,,
MU3Sec3194,username194,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,D,B,C,D,B,B,A,C,A,0,0,0,0,0,0,1,1,0,0,2,B,B,D,C,A,C,A,D,B,C,0,1,1,0,0,0,0,0,0,1,3,3,4,3,4,2,1,1,3,3,1,2,1,4,,No,Yes,2,,,
MU3Sec3195,username195,1,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,A,D,B,A,D,B,A,C,0,1,1,1,1,0,0,0,0,0,4,A,C,B,A,B,B,D,A,D,C,0,1,0,0,1,0,0,1,1,0,4,5,3,2,5,5,4,1,1,1,1,2,4,2,,Yes,Yes,3,,,
MU3Sec3196,username196,0,Experiment,18-Aug-23,18,,Thailand,5,5,5,5,5,5,5,5,5,5,D,D,D,D,D,D,D,D,D,D,1,0,0,1,0,1,0,0,0,0,3,A,B,D,D,D,B,C,B,A,A,0,1,0,0,0,0,0,0,0,0,1,5,2,5,2,2,5,1,2,5,1,2,1,1,,No,Yes,5,,,
MU3Sec3197,username197,0,Control,18-Aug-23,18,Nakhon Pathom,Thailand,3,3,3,3,3,3,3,3,3,3,D,D,C,D,D,A,B,A,A,B,1,0,0,1,0,0,1,1,0,1,5,A,C,A,B,C,B,D,A,A,D,1,1,0,1,1,1,0,1,1,1,8,1,2,5,2,5,3,1,2,4,1,2,4,5,,Yes,No,4,,,
MU3Sec3198,username198,0,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,5,D,D,B,C,B,B,B,B,A,B,1,0,0,0,1,0,1,0,0,1,4,B,D,D,D,A,A,B,D,B,A,1,1,1,0,1,0,1,1,0,1,7,4,1,1,3,1,4,3,2,5,1,2,2,7,,No,No,5,,,
MU3Sec3199,username199,0,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,4,3,4,D,D,C,B,B,B,C,A,A,C,1,0,0,0,1,0,0,1,0,0,3,D,A,C,B,B,D,D,D,C,C,0,0,1,0,0,1,0,0,0,0,2,2,2,3,3,2,2,2,1,1,1,2,4,1,,Yes,Yes,1,,,
MU3Sec3200,username200,0,Experiment,18-Aug-23,21,,Thailand,4,4,4,4,5,4,4,4,4,4,D,D,B,D,C,D,C,B,A,D,1,0,0,1,0,1,0,0,0,0,3,C,B,D,B,B,C,C,C,B,D,0,1,1,1,1,0,0,1,0,0,5,1,5,4,3,2,4,5,4,3,1,2,2,2,,No,Yes,5,,,
MU3Sec3201,username201,0,Control,18-Aug-23,19,Nonthaburi,Thailand,5,5,5,5,5,5,5,5,4,4,A,D,D,C,A,B,C,A,B,D,0,0,0,0,0,0,0,1,1,0,2,C,D,A,C,C,A,A,D,D,D,0,0,1,1,0,0,0,0,0,1,3,2,2,3,2,2,3,1,2,4,1,2,1,3,,Yes,Yes,3,,,
MU3Sec3202,username202,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,B,C,C,C,B,A,A,A,1,0,0,0,0,0,1,1,0,0,3,D,D,A,D,A,D,C,C,D,B,0,1,1,0,0,1,1,1,0,1,6,4,2,2,5,3,4,3,3,1,1,2,3,4,,No,Yes,2,,,
MU3Sec3203,username203,0,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,5,4,3,5,4,D,D,B,D,C,B,A,B,A,B,1,0,0,1,0,0,0,0,0,1,3,A,B,C,A,B,D,B,C,C,B,1,1,0,0,0,1,0,0,0,0,3,3,2,4,4,3,3,1,4,1,1,2,4,1,,Yes,No,5,,,
MU3Sec3204,username204,0,Experiment,18-Aug-23,19,,Thailand,4,4,5,4,4,4,4,4,4,4,D,D,B,D,C,B,A,B,A,B,1,0,0,1,0,0,0,0,0,1,3,A,C,C,A,B,A,C,D,B,D,1,1,1,0,1,1,0,0,0,1,6,2,2,2,1,4,1,2,3,1,1,2,4,3,,No,No,2,,,
MU3Sec3205,username205,1,Control,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,A,D,C,B,B,B,A,D,1,1,1,1,0,0,1,0,0,0,5,A,C,C,C,C,C,A,B,A,B,1,0,1,1,1,1,0,0,1,1,7,2,1,5,1,3,3,5,2,3,1,2,4,2,,Yes,Yes,4,,,
MU3Sec290,username290,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,3,3,2,3,3,4,3,2,3,D,C,C,C,A,B,D,B,B,C,1,1,0,0,0,0,0,0,1,0,3,C,B,C,C,B,A,D,D,A,A,1,0,1,1,1,0,0,1,1,0,6,2,4,5,1,4,4,1,5,1,1,2,3,2,,,,,,,
MU3Sec291,username291,0,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,C,B,D,C,A,D,D,1,0,0,0,1,1,0,1,0,0,4,A,B,D,A,D,B,C,C,D,D,0,0,0,0,1,1,1,0,0,1,4,1,2,1,4,5,3,3,2,1,1,2,3,5,,,,,,,
MU3Sec292,username292,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,3,4,4,4,4,5,4,D,C,C,D,B,D,C,A,A,B,1,1,0,1,1,1,0,1,0,1,7,C,A,C,D,A,C,B,C,C,D,0,1,0,0,0,0,0,1,0,1,3,3,4,1,1,4,3,3,5,2,1,2,3,7,,,,,,,
MU3Sec293,username293,0,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,4,4,4,4,5,5,D,D,A,D,D,B,C,A,A,B,1,0,1,1,0,0,0,1,0,1,5,D,A,C,C,B,A,C,D,A,A,0,0,0,1,0,1,1,0,0,0,3,4,4,4,4,5,5,4,4,2,1,2,4,7,,,,,,,
MU3Sec294,username294,0,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,3,4,4,4,4,4,4,3,5,4,D,D,A,D,A,D,D,A,A,B,1,0,1,1,0,1,0,1,0,1,6,C,D,B,D,C,B,C,D,A,B,0,0,1,0,0,0,1,1,0,0,3,5,5,4,4,1,5,5,2,5,1,2,2,1,,,,,,,
MU3Sec295,username295,0,Control,18-Aug-23,19,Bangkok,Thailand,3,4,3,3,4,4,3,3,4,4,A,C,C,D,A,B,D,A,B,B,0,1,0,1,0,0,0,1,1,1,5,B,A,D,D,C,B,A,A,C,B,1,0,0,0,1,0,1,1,1,1,6,1,5,4,2,1,1,4,4,1,1,2,4,3,,,,,,,
MU3Sec296,username296,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,5,5,5,4,4,5,5,5,5,A,D,C,D,B,D,C,C,D,B,0,0,0,1,1,1,0,0,0,1,4,D,A,D,B,A,A,D,A,A,B,1,1,1,0,0,0,0,1,0,0,4,3,4,1,1,5,2,1,2,4,1,2,1,4,,,,,,,
MU3Sec297,username297,0,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,C,B,D,C,D,B,A,1,0,1,0,1,1,0,0,1,0,5,D,A,B,C,A,D,A,A,B,C,0,0,1,0,1,1,0,1,0,0,4,1,1,5,5,4,3,5,3,5,1,2,2,1,,,,,,,
MU3Sec298,username298,0,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,A,A,C,C,D,B,B,1,0,1,0,0,0,0,0,1,1,4,C,B,D,C,B,C,B,B,A,C,1,1,1,1,0,0,0,1,1,1,7,5,5,4,4,4,2,4,1,2,1,2,1,4,,,,,,,
MU3Sec299,username299,0,Control,18-Aug-23,19,Nonthaburin,Thailand,4,4,3,4,4,4,4,5,4,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,D,A,D,A,D,D,C,D,B,C,0,1,1,1,0,0,0,1,1,1,6,2,3,1,1,4,4,5,4,4,1,2,1,5,,,,,,,
MU3Sec2100,username100,1,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,4,4,4,4,4,4,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,C,A,B,D,B,C,A,C,C,D,1,1,1,1,0,0,1,0,1,1,7,5,3,4,5,4,3,5,5,5,1,2,3,7,,,,,,,
MU3Sec2101,username101,1,Control,18-Aug-23,18,Nonthaburin,Thailand,3,4,3,5,4,4,3,4,3,4,D,C,C,D,D,D,C,B,A,B,1,1,0,1,0,1,0,0,0,1,5,A,D,C,B,A,B,C,D,A,B,1,1,1,0,0,1,1,0,1,1,7,3,2,3,4,1,1,2,4,2,1,2,1,5,,,,,,,
MU3Sec2102,username102,1,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,4,4,3,3,4,5,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,D,C,C,D,A,B,C,D,B,D,0,1,1,0,0,1,1,1,0,1,6,4,4,5,5,5,1,3,5,1,1,2,4,6,,,,,,,
MU3Sec2103,username103,1,Control,18-Aug-23,19,Bangkok,Thailand,4,4,5,5,4,5,4,4,4,4,A,C,C,D,B,D,B,D,A,B,0,1,0,1,1,1,1,0,0,1,6,A,A,C,A,C,A,C,D,C,D,0,0,1,0,0,1,1,0,1,1,5,4,1,3,2,5,3,5,2,4,1,2,4,7,,,,,,,
MU3Sec2104,username104,1,Experiment,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,5,4,A,B,C,D,C,A,C,A,B,B,0,0,0,1,0,0,0,1,1,1,4,A,D,B,B,D,B,B,A,C,D,1,0,0,0,0,0,1,0,1,1,4,1,4,5,3,5,3,2,3,5,1,2,2,1,,,,,,,
MU3Sec2105,username105,1,Control,18-Aug-23,19,Pathum Thani,Thailand,4,4,3,3,4,4,4,4,4,3,D,C,C,D,C,D,C,B,B,A,1,1,0,1,0,1,0,0,1,0,5,D,B,A,D,B,B,C,C,B,D,1,1,0,0,1,1,0,1,1,1,7,3,5,2,3,1,5,3,2,1,1,2,4,2,,,,,,,
MU3Sec2106,username106,1,Experiment,18-Aug-23,19,Nonthaburin,Thailand,4,4,5,4,4,4,4,4,4,4,B,C,C,D,A,A,C,C,D,B,0,1,0,1,0,0,0,0,0,1,3,D,D,C,B,D,B,A,B,A,A,0,1,0,0,0,0,1,0,0,1,3,2,3,1,5,1,3,5,4,5,1,2,4,3,,,,,,,
MU3Sec2107,username107,1,Control,18-Aug-23,20,Ubon Ratchathani,Thailand,4,5,5,4,5,4,4,5,4,4,D,D,C,D,B,A,C,D,A,C,1,0,0,1,1,0,0,0,0,0,3,A,D,A,D,B,D,B,C,C,D,1,1,1,0,0,1,0,1,0,1,6,1,5,2,1,3,2,2,5,4,1,2,4,4,,,,,,,
MU3Sec2108,username108,1,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,4,3,3,4,4,5,4,D,B,C,D,A,D,C,C,A,B,1,0,0,1,0,1,0,0,0,1,4,D,D,B,B,D,B,D,A,B,C,1,1,0,0,1,1,0,0,1,1,6,2,5,1,5,2,1,4,4,5,1,2,1,3,,,,,,,
MU3Sec2109,username109,1,Control,18-Aug-23,19,Rayong,Thailand,4,5,4,5,4,4,5,4,5,5,A,D,C,D,B,D,C,C,D,B,0,0,0,1,1,1,0,0,0,1,4,C,B,A,C,D,B,B,C,B,B,1,0,0,0,0,0,1,1,0,1,4,5,4,2,2,1,3,1,2,1,1,2,2,5,,,,,,,
MU3Sec2110,username110,1,Experiment,18-Aug-23,20,Chonburi,Thailand,4,3,4,4,4,4,4,4,3,4,A,D,C,D,B,D,C,A,B,B,0,0,0,1,1,1,0,1,1,1,6,B,A,B,B,D,D,C,C,C,A,0,0,0,1,0,1,1,1,0,1,5,3,5,5,5,1,5,5,2,3,1,2,1,1,,,,,,,
MU3Sec2111,username111,1,Control,18-Aug-23,20,Suphanburi,Thailand,4,4,4,4,4,4,4,4,4,4,A,D,C,D,B,D,C,C,A,B,0,0,0,1,1,1,0,0,0,1,4,A,B,C,C,D,A,A,B,D,B,0,0,1,1,0,0,1,1,0,1,5,4,4,3,2,4,4,2,2,1,1,2,1,5,,,,,,,
MU3Sec2112,username112,1,Experiment,18-Aug-23,18,Nonthaburin,Thailand,5,5,5,4,4,4,5,5,5,5,D,D,C,D,B,D,C,A,B,C,1,0,0,1,1,1,0,1,1,0,6,A,C,C,B,B,B,D,A,B,C,0,1,0,0,1,1,1,1,0,1,6,1,1,5,4,3,4,1,1,2,1,2,1,2,,,,,,,
MU3Sec2113,username113,1,Control,18-Aug-23,19,Nakhon Pathom,Thailand,5,5,5,5,5,4,5,5,5,5,D,D,C,D,B,D,C,A,B,B,1,0,0,1,1,1,0,1,1,1,7,A,D,C,A,A,C,C,A,B,A,0,0,1,1,0,0,1,1,0,1,5,2,4,2,5,1,3,5,4,1,1,2,2,5,,,,,,,
MU3Sec2114,username114,1,Experiment,18-Aug-23,19,Nonthaburin,Thailand,5,5,5,2,4,2,4,4,4,4,D,C,B,D,A,D,C,A,A,B,1,1,0,1,0,1,0,1,0,1,6,D,B,D,D,A,B,C,A,B,D,0,0,1,1,1,1,0,1,0,1,6,3,2,2,4,5,3,3,4,4,1,2,2,2,,,,,,,
MU3Sec2115,username115,1,Control,18-Aug-23,18,Yunnan,China,4,4,4,5,4,5,4,5,5,4,D,C,D,C,B,B,B,D,D,D,1,1,0,0,1,0,1,0,0,0,4,C,A,A,D,C,B,A,D,C,A,0,1,0,0,1,0,1,1,0,1,5,5,2,2,5,2,2,3,2,3,1,2,3,1,,,,,,,
MU3Sec2116,username116,1,Experiment,18-Aug-23,18,Rayong,Thailand,4,4,5,4,5,4,4,5,5,4,D,D,C,C,B,A,C,D,B,D,1,0,0,0,1,0,0,0,1,0,3,C,A,D,A,D,A,B,C,D,C,1,1,1,0,0,0,1,0,1,1,6,3,5,3,5,1,1,2,5,4,1,2,3,3,,,,,,,
MU3Sec2117,username117,0,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,C,D,B,C,D,B,A,1,0,0,0,0,0,0,0,1,0,2,A,C,C,C,C,B,D,D,C,A,1,1,1,1,0,1,1,1,1,0,8,2,3,5,5,1,5,5,2,5,1,2,3,2,,,,,,,
MU3Sec2120,username120,0,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,3,4,3,3,4,3,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,A,A,D,A,C,B,B,B,B,A,1,0,0,0,1,0,1,1,0,0,4,2,1,1,4,2,1,4,4,2,1,2,3,2,,,,,,,
MU3Sec2121,username121,0,Control,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,B,C,A,D,A,D,B,A,A,D,1,0,0,1,0,1,1,0,0,0,4,4,3,3,5,5,5,3,5,1,1,2,3,5,,,,,,,
MU3Sec2122,username122,1,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,3,3,5,5,4,3,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,C,A,D,A,B,D,B,A,D,D,0,0,1,1,0,0,0,1,1,0,4,5,4,5,4,3,4,3,4,3,1,2,4,4,,,,,,,
MU3Sec2123,username123,1,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,C,D,C,B,C,A,A,D,1,0,0,1,0,0,0,1,0,0,3,D,C,C,B,B,C,B,D,A,B,0,0,1,1,0,1,1,0,0,1,5,2,1,2,5,4,2,4,1,4,1,2,2,3,,,,,,,
MU3Sec2124,username124,1,Experiment,,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,B,C,D,D,A,C,C,A,B,1,0,0,1,0,0,0,0,0,1,3,D,A,A,C,A,C,A,D,C,C,0,1,1,0,0,0,1,0,0,0,3,1,2,2,3,2,5,4,4,2,1,2,3,7,,,,,,,
MU3Sec2125,username125,1,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,D,A,D,A,B,C,C,B,A,1,0,1,1,0,0,0,0,1,0,4,A,D,B,D,B,A,C,B,D,C,1,0,0,0,0,0,0,0,0,1,2,1,4,3,1,5,2,5,3,4,1,2,3,4,,,,,,,
MU3Sec2126,username126,1,Experiment,,19,Nakhon Pathom,Thailand,4,3,3,3,4,4,4,4,4,2,D,B,C,C,A,B,C,B,A,D,1,0,0,0,0,0,0,0,0,0,1,C,D,D,A,A,C,A,C,C,D,1,1,0,0,0,0,0,1,0,0,3,2,1,2,4,4,3,4,2,3,1,2,4,3,,,,,,,
MU3Sec2127,username127,1,Control,,20,Bangkok,Thailand,4,3,4,4,4,3,4,4,3,4,D,B,B,D,C,B,B,D,C,C,1,0,0,1,0,0,1,0,0,0,3,C,C,B,B,A,D,D,B,A,D,1,0,1,0,0,0,0,0,0,0,2,4,1,1,2,2,4,5,1,3,1,2,1,6,,,,,,,
MU3Sec2128,username128,1,Experiment,,19,Nakhon Pathom,Thailand,4,3,4,4,4,4,4,4,4,4,C,D,A,C,D,A,C,A,A,D,0,0,1,0,0,0,0,1,0,0,2,D,B,D,D,D,C,A,D,A,B,1,1,1,1,1,0,0,1,1,1,8,5,1,4,5,5,5,3,2,1,1,2,1,7,,,,,,,
MU3Sec2129,username129,1,Control,,20,Nonthaburin,Thailand,4,3,4,4,4,4,4,3,4,4,C,C,C,D,A,A,C,A,A,A,0,1,0,1,0,0,0,1,0,0,3,B,A,C,C,C,C,D,C,B,C,1,0,1,1,1,1,1,0,0,1,7,5,5,4,3,5,2,4,1,2,1,2,2,4,,,,,,,
MU3Sec2130,username130,1,Experiment,,19,Nakhon Pathom,Thailand,4,5,4,4,4,4,4,3,4,3,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,D,C,A,C,C,B,B,D,A,D,0,0,0,1,1,0,1,1,0,1,5,4,1,1,4,2,3,2,5,1,1,2,4,1,,,,,,,
MU3Sec2131,username131,1,Control,,19,Ratchaburi,Thailand,4,4,5,4,4,4,4,4,5,5,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,A,B,A,A,B,A,D,B,A,C,1,1,1,1,0,1,0,1,1,1,8,1,1,3,3,1,3,1,1,1,1,2,2,3,,,,,,,
MU3Sec2132,username132,1,Experiment,,19,Chonburi,Thailand,4,4,5,4,4,4,4,5,4,4,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,B,B,B,C,C,D,C,D,D,B,1,0,0,0,0,1,1,0,1,0,4,3,1,5,1,3,5,1,1,2,1,2,1,7,,,,,,,
MU3Sec2133,username133,1,Control,,19,Bangkok,Thailand,4,5,5,5,5,4,5,5,5,5,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,C,A,A,C,B,C,A,A,B,A,1,0,0,0,1,0,1,1,0,0,4,4,5,4,5,3,4,4,3,1,1,2,3,5,,,,,,,
MU3Sec2134,username134,0,Experiment,,19,Bangkok,Thailand,1,1,2,1,3,4,4,4,1,2,D,C,A,B,C,C,B,D,A,A,1,1,1,0,0,0,1,0,0,0,4,C,B,B,D,A,A,C,C,C,A,1,1,1,0,0,0,1,1,1,1,7,1,3,3,2,1,3,4,3,3,1,2,3,1,,,,,,,
MU3Sec2135,username135,0,Control,,19,Nakhon Pathom,Thailand,4,3,4,4,3,4,3,4,3,4,D,D,A,B,A,D,C,B,A,C,1,0,1,0,0,1,0,0,0,0,3,C,D,D,C,B,A,C,B,C,D,1,1,0,0,0,1,1,1,0,1,6,3,4,4,3,1,1,5,5,5,1,2,1,3,,,,,,,
MU3Sec2136,username136,0,Experiment,,19,Bangkok,Thailand,4,3,4,4,5,4,4,3,3,5,B,C,B,A,A,B,C,D,D,A,0,1,0,0,0,0,0,0,0,0,1,D,A,C,C,B,B,C,C,A,D,1,0,1,1,0,0,1,1,0,0,5,3,2,1,5,4,4,4,3,1,1,2,4,1,,,,,,,
MU3Sec2137,username137,0,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,B,A,B,A,A,B,B,A,B,0,0,1,0,0,0,1,0,0,1,3,C,C,B,C,C,B,C,B,D,B,1,0,0,1,0,0,0,0,0,0,2,4,5,2,3,2,5,4,4,4,1,2,4,6,,,,,,,
MU3Sec2138,username138,1,Experiment,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,D,B,D,B,A,0,0,0,0,0,1,1,0,1,0,3,A,A,B,D,A,B,B,B,B,C,0,1,1,0,1,1,1,1,0,1,7,3,4,3,1,3,2,4,2,3,1,2,4,3,,,,,,,
MU3Sec2139,username139,0,Control,,19,Udonthani,Thailand,4,4,5,4,5,4,4,4,5,5,B,A,C,B,D,D,C,D,A,A,0,0,0,0,0,1,0,0,0,0,1,C,A,C,D,A,B,B,C,C,A,0,1,1,1,1,0,0,1,1,1,7,3,3,1,1,2,1,5,2,1,1,2,2,4,,,,,,,
MU3Sec2140,username140,1,Experiment,,20,Yunnan,China,4,4,4,4,4,4,4,4,5,5,D,C,A,D,C,D,B,A,B,B,1,1,1,1,0,1,1,1,1,1,9,C,C,A,D,C,B,C,D,C,C,1,1,1,1,0,0,1,0,1,0,6,4,5,4,2,4,3,3,5,4,1,2,1,1,,,,,,,
MU3Sec2141,username141,1,Control,,19,Yunnan,China,4,4,5,2,4,2,4,4,4,4,D,C,A,D,B,B,B,D,B,B,1,1,1,1,1,0,1,0,1,1,8,A,B,A,D,C,A,A,A,C,B,1,0,0,0,0,0,0,0,1,0,2,3,4,3,1,2,4,3,2,1,1,2,2,7,,,,,,,
MU3Sec2143,username143,1,Control,,18,Bangkok,,4,4,4,3,3,4,5,4,3,3,A,D,C,D,C,B,B,B,A,B,0,0,0,1,0,0,1,0,0,1,3,B,D,A,B,C,D,D,B,C,C,1,1,1,0,1,0,1,0,1,0,6,5,3,4,1,1,5,3,5,3,1,2,4,6,,,,,,,
MU3Sec2144,username144,0,Experiment,,20,,,3,3,3,3,3,3,3,3,3,3,D,C,B,A,B,C,A,D,B,D,1,1,0,0,1,0,0,0,1,0,4,C,A,B,D,B,C,A,A,A,D,0,0,1,0,1,0,1,0,0,1,4,3,5,5,5,5,4,2,5,5,1,2,4,1,,,,,,,
MU3Sec2145,username145,1,Control,,19,Bangkok,,4,5,3,3,4,4,3,4,5,4,D,D,C,D,A,B,D,A,B,C,1,0,0,1,0,0,0,1,1,0,4,B,A,C,C,C,A,C,D,A,C,0,1,1,0,1,0,1,1,0,1,6,4,2,3,1,1,2,2,4,5,1,2,3,3,,,,,,,
MU3Sec2146,username146,1,Experiment,,19,,,4,3,4,3,4,4,3,4,4,3,D,C,B,B,C,D,C,C,D,B,1,1,0,0,0,1,0,0,0,1,4,D,C,A,C,B,C,A,D,C,C,1,1,0,1,0,1,0,1,0,1,6,5,2,5,2,2,1,4,2,1,1,2,4,5,,,,,,,
MU3Sec2147,username147,0,Control,,19,Samutprakron,,3,4,3,3,4,5,5,4,3,4,C,A,B,C,B,C,B,A,D,A,0,0,0,0,1,0,1,1,0,0,3,B,D,C,C,D,C,D,C,A,C,1,0,1,1,0,1,1,0,0,0,5,5,1,2,4,4,2,1,3,1,1,2,3,7,,,,,,,
